               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.023259,            0.053908,           0.0063068,             0.73265,              0.6806,             0.67179,             0.51353,            0.025908,            0.057728,            0.014454,            0.002872,            0.002872,            0.002872
                  38,            0.023221,            0.053534,           0.0061847,             0.72555,             0.68042,             0.66473,             0.51038,            0.025896,            0.057864,            0.014599,            0.002674,            0.002674,            0.002674
                  39,             0.02297,            0.053105,           0.0060605,              0.7157,             0.68379,             0.66089,             0.50858,            0.025872,            0.057905,            0.014725,            0.002476,            0.002476,            0.002476
                  40,            0.022793,            0.052385,           0.0059093,             0.71429,             0.68136,             0.65737,             0.50727,            0.025861,            0.058012,            0.014883,            0.002278,            0.002278,            0.002278
                  41,            0.022515,            0.052303,           0.0057045,              0.7114,             0.68212,              0.6558,             0.50685,            0.025853,            0.058074,            0.015015,             0.00208,             0.00208,             0.00208
                  42,            0.022509,            0.051824,           0.0056955,              0.7143,             0.68087,             0.65476,             0.50691,            0.025846,             0.05815,            0.015143,            0.001882,            0.001882,            0.001882
                  43,            0.022283,            0.051675,           0.0055166,             0.71047,             0.68156,             0.65356,             0.50629,            0.025844,            0.058223,            0.015279,            0.001684,            0.001684,            0.001684
                  44,            0.022092,             0.05092,           0.0053927,             0.70742,             0.68154,             0.65007,               0.505,            0.025845,            0.058324,            0.015402,            0.001486,            0.001486,            0.001486
                  45,            0.021927,            0.050643,           0.0052519,             0.70815,             0.68048,             0.64955,             0.50483,            0.025845,            0.058411,            0.015527,            0.001288,            0.001288,            0.001288
                  46,            0.021708,            0.049752,           0.0051746,             0.71075,             0.67777,             0.64994,              0.5055,            0.025842,              0.0585,            0.015633,             0.00109,             0.00109,             0.00109
                  47,            0.021663,            0.049642,           0.0050254,             0.71354,               0.676,              0.6498,              0.5049,            0.025844,            0.058583,            0.015747,            0.000892,            0.000892,            0.000892
                  48,            0.021409,            0.049339,           0.0049224,             0.71537,              0.6753,             0.65058,             0.50569,            0.025847,            0.058658,            0.015861,            0.000694,            0.000694,            0.000694
                  49,            0.021337,            0.049003,           0.0048781,             0.71656,             0.67488,             0.65105,             0.50611,             0.02585,            0.058721,            0.015972,            0.000496,            0.000496,            0.000496
